"yymm","year","month","url","row","bien","medida","cantidad","precio","total"
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","19","Ayote","Libra",32,5.64,180.48
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","20","Chiltoma","Libra",3,24.07,72.21
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","21","Plátano verde","Libra",16,7.46,119.36
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","22","Naranja","Libra",46,5.21,239.66
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","23","Repollo","Libra",2,5.05,10.1
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","24","Jabón de lavar ropa","Unidad",12.55,12.41,155.75
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.66,74.4
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","26","Pasta dental","Unidad de 115 grs ",2.13,29.01,61.79
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","27","Fósforos","Cajita de 40 cerillos",10.87,0.99,10.76
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","28","Escoba","Unidad",1.22,39.69,48.42
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","29","Papel higiénico","Rollos",10.71,11.28,120.81
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","30","Jabón de baño","Unidad",4.67,6.12,28.58
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,16.07,35.51
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","32","Desodorante nacional","Unidad",1.9,26.14,49.67
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","33","Cepillo dental","Unidad",2.49,10.69,26.62
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","35","Gas butano"," 25 libras",1,227.94,227.94
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","36","Luz eléctrica","KWH",100,2.54,254.1
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","37","Agua","Galones",5292,0.02,126.36
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","38","Transporte","Pasaje",240,2.5,600
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,401.53,249.47
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","40","Camisa manga corta","Unidad",0.66,115.18,76.02
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","41","Calzoncillos","Unidad",1.57,37.72,59.03
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","42","Calcetines","Par",1.32,27.14,35.82
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,399.35,172.6
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","44","Blusa manga corta","Unidad",0.66,103,67.98
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,388.5,198.14
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","46","Vestido entero","Unidad",0.5,256.04,128.02
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","47","Calzones/ Bikinis","Unidad",1.23,37.9,46.62
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","48","Brassier/ sostén","Unidad",0.97,41.6,40.35
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","49","Sandalias de cuero sintético","Par",0.44,226.7,99.75
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","50","Traje completo","Unidad",0.5,269.51,135.28
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","51","Calzones","Unidad",1.43,26.12,37.42
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","52","Calcetines","Par",1.39,25.27,35.08
"CB2016Oct",2016,"Oct","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBOct2016.xls","53","Zapato de cuero sintético","Par",0.45,298.21,133.34
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","1","Arroz","Libra",38,12.37,470.06
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","2","Frijol","Libra",34,15.25,518.5
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","3","Azúcar","Libra",30,10.41,312.3
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","4","Aceite","Litro",7,32.94,230.58
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","5","Posta de res","Libra",8,81.9,655.2
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","6","Posta de cerdo","Libra",5,69.32,346.6
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","7","Carne de aves","Libra",8,36.66,293.28
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","8","Chuleta de pescado","Libra",9,77.05,693.45
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","9","Leche","Litro",30,25.44,763.2
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","10","Huevos","Docena",7,43.48,304.36
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","11","Queso seco","Libra",9,59.72,537.48
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","12","Tortilla","Libra",57,16.49,939.93
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","13","Pinolillo","Libra",10,27.12,271.2
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","14","Pastas alimenticias","Libra",5,24.6,123
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","15","Pan","Libra",27,19.09,515.43
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","16","Tomate de cocinar","Libra",14,17.45,244.3
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","17","Cebolla blanca","Libra",8,25.54,204.32
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","18","Papas","Libra",15,14.53,217.95
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","19","Ayote","Libra",32,4.66,149.12
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","20","Chiltoma","Libra",3,24.87,74.61
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","21","Plátano verde","Libra",16,7.12,113.92
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","22","Naranja","Libra",46,4.72,217.12
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","23","Repollo","Libra",2,5.26,10.52
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","24","Jabón de lavar ropa","Unidad",12.55,12.42,155.87
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.66,74.4
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","26","Pasta dental","Unidad de 115 grs ",2.13,28.99,61.75
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","27","Fósforos","Cajita de 40 cerillos",10.87,0.99,10.76
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","28","Escoba","Unidad",1.22,39.69,48.42
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","29","Papel higiénico","Rollos",10.71,11.26,120.59
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","30","Jabón de baño","Unidad",4.67,6.03,28.16
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,16.14,35.67
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","32","Desodorante nacional","Unidad",1.9,26.29,49.95
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","33","Cepillo dental","Unidad",2.49,10.72,26.69
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","35","Gas butano"," 25 libras",1,238.8,238.8
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","36","Luz eléctrica","KWH",100,2.55,255.12
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","37","Agua","Galones",5292,0.02,126.36
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","38","Transporte","Pasaje",240,2.5,600
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,403.74,250.84
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","40","Camisa manga corta","Unidad",0.66,116.26,76.73
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","41","Calzoncillos","Unidad",1.57,37.67,58.95
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","42","Calcetines","Par",1.32,27.14,35.82
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,399.39,172.62
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","44","Blusa manga corta","Unidad",0.66,103.75,68.48
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,391.94,199.89
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","46","Vestido entero","Unidad",0.5,256.13,128.07
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","47","Calzones/ Bikinis","Unidad",1.23,37.8,46.49
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","48","Brassier/ sostén","Unidad",0.97,41.31,40.07
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","49","Sandalias de cuero sintético","Par",0.44,226.7,99.75
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","50","Traje completo","Unidad",0.5,269.69,135.37
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","51","Calzones","Unidad",1.43,25.94,37.16
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","52","Calcetines","Par",1.39,25.45,35.33
"CB2016Nov",2016,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBNov2016.xls","53","Zapato de cuero sintético","Par",0.45,299.13,133.75
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","1","Arroz","Libra",38,12.32,468.16
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","2","Frijol","Libra",34,15.9,540.6
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","3","Azúcar","Libra",30,10.48,314.4
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","4","Aceite","Litro",7,33.22,232.54
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","5","Posta de res","Libra",8,82.91,663.28
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","6","Posta de cerdo","Libra",5,69.57,347.85
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","7","Carne de aves","Libra",8,38.61,308.88
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","8","Chuleta de pescado","Libra",9,77.48,697.32
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","9","Leche","Litro",30,25.43,762.9
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","10","Huevos","Docena",7,47.58,333.06
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","11","Queso seco","Libra",9,63.36,570.24
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","12","Tortilla","Libra",57,15.97,910.29
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","13","Pinolillo","Libra",10,27.07,270.7
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","14","Pastas alimenticias","Libra",5,24.8,124
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","15","Pan","Libra",27,19.41,524.07
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","16","Tomate de cocinar","Libra",14,13.22,185.08
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","17","Cebolla blanca","Libra",8,22.4,179.2
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","18","Papas","Libra",15,16.55,248.25
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","19","Ayote","Libra",32,5.3,169.6
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","20","Chiltoma","Libra",3,26.96,80.88
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","21","Plátano verde","Libra",16,6.7,107.2
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","22","Naranja","Libra",46,4.71,216.66
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","23","Repollo","Libra",2,5.57,11.14
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","24","Jabón de lavar ropa","Unidad",12.55,12.15,152.48
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.66,74.4
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","26","Pasta dental","Unidad de 115 grs ",2.13,29.29,62.39
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","27","Fósforos","Cajita de 40 cerillos",10.87,1.12,12.17
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","28","Escoba","Unidad",1.22,39.49,48.18
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","29","Papel higiénico","Rollos",10.71,11.26,120.59
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","30","Jabón de baño","Unidad",4.67,6.1,28.49
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","31","Toallas sanitarias","Bolsa de 10 unid",2.21,16.22,35.85
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","32","Desodorante nacional","Unidad",1.9,26.61,50.56
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","33","Cepillo dental","Unidad",2.49,10.72,26.69
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","34","Alquiler","Valor (C$) mensual",1,900,900
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","35","Gas butano"," 25 libras",1,238.13,238.13
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","36","Luz eléctrica","KWH",100,2.56,256.18
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","37","Agua","Galones",5292,0.02,126.36
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","38","Transporte","Pasaje",240,2.5,600
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","39","Pantalón largo de tela de jeans","Unidad",0.62,407.86,253.4
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","40","Camisa manga corta","Unidad",0.66,116.27,76.74
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","41","Calzoncillos","Unidad",1.57,38.13,59.67
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","42","Calcetines","Par",1.32,27.33,36.07
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","43","Zapato  de cuero natural (mocasin, acordonado, cerrado, etc.)","Par",0.43,400.11,172.93
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","44","Blusa manga corta","Unidad",0.66,103.95,68.61
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","45","Pantalón largo de tela de jeans","Unidad",0.51,393.4,200.63
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","46","Vestido entero","Unidad",0.5,258.3,129.15
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","47","Calzones/ Bikinis","Unidad",1.23,37.88,46.59
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","48","Brassier/ sostén","Unidad",0.97,41.9,40.64
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","49","Sandalias de cuero sintético","Par",0.44,228.96,100.74
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","50","Traje completo","Unidad",0.5,269.97,135.52
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","51","Calzones","Unidad",1.43,25.99,37.23
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","52","Calcetines","Par",1.39,25.84,35.87
"CB2016Dic",2016,"Dic","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2016/CBDic2016.xls","53","Zapato de cuero sintético","Par",0.45,299.59,133.96
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","1","Arroz","Libra",38,12.4,471.2
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","2","Frijol","Libra",34,16.34,555.56
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","3","Azúcar","Libra",30,10.63,318.9
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","4","Aceite","Litro",7,33.7,235.9
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","5","Posta de res","Libra",8,82.05,656.4
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","6","Posta de cerdo","Libra",5,69.17,345.85
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","7","Carne de aves","Libra",8,39.79,318.32
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","8","Chuleta de pescado","Libra",9,78.18,703.62
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","9","Leche","Litro",30,25.56,766.8
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","10","Huevos","Docena",7,47.88,335.16
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","11","Queso seco","Libra",9,65.81,592.29
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","12","Tortilla","Libra",57,16.44,937.08
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","13","Pinolillo","Libra",10,27.16,271.6
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","14","Pastas alimenticias","Libra",5,24.8,124
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","15","Pan","Libra",27,19.05,514.35
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","16","Tomate de cocinar","Libra",14,9.16,128.24
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","17","Cebolla blanca","Libra",8,24.34,194.72
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","18","Papas","Libra",15,18.83,282.45
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","19","Ayote","Libra",32,7.17,229.44
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","20","Chiltoma","Libra",3,27.49,82.47
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","21","Plátano verde","Libra",16,6.7,107.2
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","22","Naranja","Libra",46,4.65,213.9
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","23","Repollo","Libra",2,5.42,10.84
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","24","Jabón de lavar ropa","Unidad",12.55,12.26,153.86
"CB2017Ene",2017,"Ene","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2017/CBEne2017.xls","25","Detergente en polvo","Bolsita de 40 gramos ",27.97,2.66,74.4
